	Date	Open	High	Low	Close
182	2020-12-21	4.85	4.94	4.79	4.86
183	2020-12-22	4.84	4.86	4.56	4.61
184	2020-12-23	4.57	4.7	4.57	4.68
185	2020-12-24	4.63	4.81	4.63	4.77
186	2020-12-28	4.9	4.96	4.67	4.68
187	2020-12-29	4.81	4.85	4.69	4.73
188	2020-12-30	4.77	4.89	4.74	4.89
189	2020-12-31	4.91	4.93	4.6	4.68
190	2021-01-04	5.08	5.37	4.99	5.33
191	2021-01-05	5.36	5.38	5.08	5.13
192	2021-01-06	5.08	5.08	4.76	4.95
193	2021-01-07	4.79	4.85	4.7	4.78
194	2021-01-08	4.7	4.72	4.39	4.52
195	2021-01-11	4.43	4.53	4.4	4.41
196	2021-01-12	4.42	4.53	4.36	4.53
197	2021-01-13	4.53	4.57	4.45	4.47
198	2021-01-14	4.4	4.52	4.35	4.44
199	2021-01-15	4.38	4.46	4.25	4.26
200	2021-01-19	4.3	4.33	4.2	4.23
201	2021-01-20	4.35	4.52	4.35	4.49
202	2021-01-21	4.47	4.5	4.38	4.46
203	2021-01-22	4.3	4.49	4.25	4.41
204	2021-01-25	4.42	4.48	4.32	4.43
205	2021-01-26	4.4	4.62	4.39	4.6
206	2021-01-27	4.42	4.47	4.27	4.29
207	2021-01-28	4.49	4.62	4.45	4.53
208	2021-01-29	4.68	4.72	4.41	4.45
209	2021-02-01	4.56	4.63	4.47	4.53
210	2021-02-02	4.41	4.43	4.32	4.33
211	2021-02-03	4.33	4.37	4.29	4.33
212	2021-02-04	4.14	4.21	4.1	4.19
213	2021-02-05	4.27	4.32	4.17	4.32
214	2021-02-08	4.33	4.38	4.27	4.3
215	2021-02-09	4.3	4.33	4.23	4.29
216	2021-02-10	4.35	4.39	4.29	4.33
217	2021-02-11	4.28	4.31	4.15	4.18
218	2021-02-12	4.11	4.21	4.06	4.13
219	2021-02-16	4.0	4.09	3.94	3.95
220	2021-02-17	3.82	3.89	3.79	3.89
221	2021-02-18	3.8	3.91	3.75	3.77
222	2021-02-19	3.87	3.9	3.81	3.86
223	2021-02-22	3.91	4.16	3.91	4.15
224	2021-02-23	4.06	4.11	3.9	4.06
225	2021-02-24	3.91	4.12	3.86	4.1
226	2021-02-25	4.01	4.05	3.87	3.92
227	2021-02-26	3.87	3.92	3.76	3.79
228	2021-03-01	3.88	3.94	3.79	3.82
229	2021-03-02	3.9	4.19	3.88	4.12
230	2021-03-03	4.01	4.24	3.95	4.14
231	2021-03-04	4.14	4.36	4.09	4.2
232	2021-03-05	4.2	4.36	4.12	4.33
233	2021-03-08	4.24	4.38	4.23	4.32
234	2021-03-09	4.5	4.63	4.45	4.52
235	2021-03-10	4.52	4.6	4.51	4.58
236	2021-03-11	4.57	4.61	4.43	4.47
237	2021-03-12	4.31	4.41	4.29	4.35
238	2021-03-15	4.4	4.55	4.39	4.47
239	2021-03-16	4.47	4.56	4.46	4.49
240	2021-03-17	4.47	4.59	4.38	4.57
241	2021-03-18	4.48	4.57	4.43	4.5
242	2021-03-19	4.4	4.55	4.39	4.54
243	2021-03-22	4.53	4.6	4.43	4.45
244	2021-03-23	4.42	4.43	4.15	4.16
245	2021-03-24	4.15	4.18	4.06	4.08
246	2021-03-25	4.08	4.15	4.06	4.15
247	2021-03-26	4.16	4.4	4.16	4.4
248	2021-03-29	4.34	4.51	4.32	4.5
249	2021-03-30	4.31	4.36	4.22	4.25
250	2021-03-31	4.26	4.45	4.25	4.36
251	2021-04-01	4.62	4.91	4.6	4.87
252	2021-04-05	4.89	4.91	4.78	4.82
